,Unnamed: 0,event_id,primary_act_id,secondary_act_id,purch_party_lkup_id,event_name,primary_act_name,secondary_act_name,major_cat_name,minor_cat_name,la_event_type_cat,event_disp_name,ticket_text,tickets_purchased_qty,trans_face_val_amt,delivery_type_cd,event_date_time,event_dt,presale_dt,onsale_dt,sales_ord_create_dttm,sales_ord_tran_dt,print_dt,timezn_nm,venue_city,venue_state,venue_postal_cd_sgmt_1,sales_platform_cd,print_flg,la_valid_tkt_event_flg,fin_mkt_nm,web_session_cookie_val,gndr_cd,age_yr,income_amt,edu_val,edu_1st_indv_val,edu_2nd_indv_val,adults_in_hh_num,married_ind,child_present_ind,home_owner_ind,occpn_val,occpn_1st_val,occpn_2nd_val,dist_to_ven
1353,1354,c0575842602e870c5963,ece41b237cafe0f04f87,57937977a1811bb89c0d,2f30200fc25b84286ecd,Kroq Presents Modest Mouse/brand New,Modest Mouse,BRAND NEW,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Kroq Presents Modest Mouse/brand New,   106.7 KROQ PRESENTS      MODEST MOUSE/BRAND NEW   DOORS 6:30PM/SHOW 7:30PM         THE FORUM          3900 W. MANCHESTER BLVD   WED JUL 27 2016 7:30 PM  ,3,135.0,eTicket,2016-07-28 02:30:00,2016-07-27,2016-01-27,2016-01-29,2016-02-10 03:22:31,2016-02-09,,PST,INGLEWOOD,CALIFORNIA,90305,iphone2.livenation.us,F ,Y ,Los Angeles,2f30200fc25b84286ecd,,,,,,,,,,,,,,
1355,1356,a7d3d1a0dbb094d23fa6,2cd67d26ed713474e48a,6ccf8388db7c7cf7d49e,d003949ff9400dae9c3a,Incubus/deftones 2015 tour,Incubus,Deftones,CONCERTS,ROCK/POP,CONCERTS,Incubus/deftones 2015 tour, RAIN OR SHINE/CPATW PRES          INCUBUS                                             DEFTONES             WOODLANDS PAVILION    WED AUG 19'15 6:15P SHARP ,2,119.0,eTicket,2015-08-19 23:15:00,2015-08-19,2015-04-22,2015-05-01,2015-04-23 19:10:14,2015-04-23,2015-08-19,CST,THE WOODLANDS,TEXAS,77380,mobile.livenation.us,T ,Y ,Houston,d003949ff9400dae9c3a,,,,,,,,,,,,,,
1356,1357,f26ae77cb14bdcddef00,d0a751810a1f3a32363d,0e2159b839e38cae3f48,762dbe8fb755238ac4c9,Mmrbq,MMR*B*Q,Disturbed,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Mmrbq,    93.3 WMMR PRESENTS            MMRBQ 2016             ***************            BB&T PAVILION       RAIN OR SHINE*NO REF/EXCH  SAT MAY 21 2016 1:00 PM  ,4,100.0,eTicket,2016-05-21 17:00:00,2016-05-21,2016-03-10,2016-01-15,2016-02-05 21:48:33,2016-02-05,,EST,CAMDEN,NEW JERSEY,08103,www.concerts.livenation.com,F ,Y ,Delaware Valley,762dbe8fb755238ac4c9,,,,,,,,,,,,,,
1357,1358,1305bf8f78525ccd74ee,2cd67d26ed713474e48a,6ccf8388db7c7cf7d49e,b37f22c620fc9e0cb0cf,Incubus/deftones 2015 tour,Incubus,Deftones,CONCERTS,ROCK/POP,CONCERTS,Incubus/deftones 2015 tour,   LIVE NATION PRESENTS            INCUBUS                   * * * *                   DEFTONES            GEXA ENERGY PAVILION   AUG 20 2015 6:15 PM SHARP ,4,75.0,eTicket,2015-08-20 23:15:00,2015-08-20,2015-04-20,2015-05-01,2015-08-17 15:05:35,2015-08-17,2015-08-20,CST,DALLAS,TEXAS,75210,mobile.livenation.us,T ,Y ,Dallas,b37f22c620fc9e0cb0cf,,,,,,,,,,,,,,
1359,1360,32fa6e7342999e8e89b0,f53529c5679ea6ca5a48,b85143bf51323b72e53c,2ae51773294c985667b6,Dave Matthews Band,Dave Matthews Band,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Dave Matthews Band,                              DAVE MATTHEWS BAND                                 NO CAMERAS OR VIDEOS      GEXA ENERGY PAVILION    SAT MAY 14 2016 7:00 PM  ,2,150.0,Mail,2016-05-15 00:00:00,2016-05-14,2016-02-16,2016-02-19,2016-02-22 14:32:26,2016-02-22,,CST,DALLAS,TEXAS,75210,www.concerts.livenation.com,F ,Y ,Dallas,2ae51773294c985667b6,,,,,,,,,,,,,,
1361,1362,24d74ef53592d1e950fc,8ece566dec0c146b25cd,b85143bf51323b72e53c,ea0f0ca4be419ab6f13f,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,   Live Nation Presents            BEYONCE           The Formation World Tour     CENTURYLINK FIELD           RAIN OR SHINE         WED MAY 18 2016 6:00PM  ,2,310.0,Mail,2016-05-19 01:00:00,2016-05-18,2016-02-15,2016-02-22,2016-02-15 18:08:07,2016-02-15,2016-02-23,PST,SEATTLE,WASHINGTON,98134,www.ticketmaster.com,T ,Y ,Seattle,ea0f0ca4be419ab6f13f,,,,,,,,,,,,,,
1362,1363,7dd8279fa4a4b4d7ac70,445da0a5d8286a8035b5,63ad12314654a71f1f4d,e493b8d7d48207951bd3,Justiceaid Presents: Ani Difranco + hurray for the riff raff (benefit),Ani Difranco,Hurray for the Riff Raff,CONCERTS,FOLK,CONCERTS,Justiceaid Presents: Ani Difranco + hurray for the riff raff (benefit),   JUSTICEAID PRESENTS           ANI DIFRANCO       + HURRAY FOR THE RIFF RAFFHOUSE OF BLUES FRENCH QTR  18+ w/ID * STANDING ONLY SAT OCT 17 2015 DRS 7:00PM,2,100.0,eTicket,2015-10-18 00:00:00,2015-10-17,2015-07-24,2015-07-31,2015-08-05 15:09:28,2015-08-05,2015-10-15,CST,NEW ORLEANS,LOUISIANA,70130,www.concerts.livenation.com,T ,Y ,New Orleans,e493b8d7d48207951bd3,,,,,,,,,,,,,,
1366,1367,dc30bdd13cef00f7846b,018600c7f08380c6be26,b85143bf51323b72e53c,523994ac12b8016ea5b0,Mana: Latino Power Tour 2016,Maná,,CONCERTS,LATIN MUSIC,CONCERTS,Mana: Latino Power Tour 2016,"  CHIVAS REGAL PRESENTS              MANA               LATINO POWER TOUR            AT&T CENTER            SAN ANTONIO, TEXAS     FRI NOV 04 2016 8:00 PM  ",1,49.0,eTicket,2016-11-05 01:00:00,2016-11-04,2016-02-17,2016-02-20,2016-02-24 16:12:26,2016-02-24,2016-02-24,CST,SAN ANTONIO,TEXAS,78219,www.ticketmaster.com,T ,Y ,San Antonio,523994ac12b8016ea5b0,,,,,,,,,,,,,,
1367,1368,25adccd8f2e9f128f237,5a30008429ee66fc7b84,3a8c7fcf357544c951d9,91ab60683322f5d00ced,Luke Bryan: Kill The Lights Tour 2016,Luke Bryan,Little Big Town,CONCERTS,COUNTRY,CONCERTS,Luke Bryan: Kill The Lights Tour 2016,KILL THE LIGHTS TOUR 2016         LUKE BRYAN              LUKEBRYAN.COM           LBT / DUSTIN LYNCH         CONCORD PAVILION      FRI APR 29 2016 7:00 PM  ,6,178.5,eTicket,2016-04-30 02:00:00,2016-04-29,2015-12-09,2015-12-11,2015-12-11 19:52:37,2015-12-11,2015-12-11,PST,CONCORD,CALIFORNIA,94521,www.concerts.livenation.com,T ,Y ,N. California,91ab60683322f5d00ced,,,,,,,,,,,,,,
1368,1369,c74cd93598868eaa584d,8ece566dec0c146b25cd,b85143bf51323b72e53c,de54d50c048be61fccc9,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,   LIVE NATION PRESENTS            BEYONCE           THE FORMATION WORLD TOUR   RAYMOND JAMES STADIUM         RAIN OR SHINE         FRI APR 29 2016 6:00PM  ,2,200.0,eTicket,2016-04-29 22:00:00,2016-04-29,2016-02-09,2016-02-16,2016-02-10 00:44:56,2016-02-09,2016-02-09,EST,TAMPA,FLORIDA,33607,www.ticketmaster.com,T ,Y ,Tampa,de54d50c048be61fccc9,,,,,,,,,,,,,,
1369,1370,6dc21d31cad2477b150a,2cd67d26ed713474e48a,6ccf8388db7c7cf7d49e,60e3db23350911e96551,Incubus/deftones 2015 tour,Incubus,Deftones,CONCERTS,ROCK/POP,CONCERTS,Incubus/deftones 2015 tour,   LIVE NATION PRESENTS            INCUBUS                  * * * * *                  DEFTONES             PNC MUSIC PAVILION    SUN AUG 9 2015 615PM SHARP,2,185.0,eTicket,2015-08-09 22:15:00,2015-08-09,2015-04-20,2015-04-24,2015-04-24 20:23:49,2015-04-24,2015-08-07,EST,CHARLOTTE,NORTH CAROLINA,28262,iphone2.livenation.us,T ,Y ,Charlotte,60e3db23350911e96551,,,,,,,,,,,,,,
1373,1374,c96d29a7f53fe5f032e0,d3524629d74c54d02dc2,56b40f6eedb97e1b0d54,ec45f3f03c3fdfda8443,Galactic And Soulive,Galactic,Soulive,CONCERTS,ROCK/POP,CONCERTS,Galactic And Soulive,    97.3 KBCO PRESENTS             GALACTIC                    AND                     SOULIVE            FILLMORE AUD/16 & OVER   SAT FEB 20 2016 8:00 PM  ,1,35.0,eTicket,2016-02-21 03:00:00,2016-02-20,2015-10-01,2015-10-02,2016-02-20 21:12:09,2016-02-20,2016-02-20,MST,DENVER,COLORADO,80218,www.concerts.livenation.com,T ,Y ,Colorado,ec45f3f03c3fdfda8443,,,,,,,,,,,,,,
1376,1377,eb875031a8785b4ef8e2,24d54148826b4f5d62ae,b85143bf51323b72e53c,bfed19948f0d029c8554,Hallmark Channel Presents Trans-siberian Orchestra 2015,Trans-Siberian Orchestra,,CONCERTS,ETHNIC/FOREIGN,CONCERTS,Hallmark Channel Presents Trans-siberian Orchestra 2015,HALLMARK CHANNEL PRESENTS  TRANS-SIBERIAN ORCHESTRA  GHOSTS OF CHRISTMAS EVE                                WSU NUTTER CENTER      SAT DEC 05 2015 8:00 PM  ,2,69.0,eTicket,2015-12-06 01:00:00,2015-12-05,2015-09-16,2015-09-18,2015-09-16 14:43:02,2015-09-16,2015-09-16,EST,DAYTON,OHIO,45435,www.ticketmaster.com,T ,Y ,Cincinnati-KY,bfed19948f0d029c8554,,,,,,,,,,,,,,
1377,1378,ab427c060e2d8bf4df1d,b9fcab6d9e4154e2a3c6,b85143bf51323b72e53c,093f39a7ecf1dec7b81c,Janet Jackson: Unbreakable World Tour,Janet Jackson,,CONCERTS,ROCK/POP,CONCERTS,Janet Jackson: Unbreakable World Tour,"   LIVE NATION PRESENTS         JANET JACKSON         UNBREAKABLE WORLD TOUR         BB&T CENTER               SUNRISE, FL           THU AUG 4 2016 8:00PM  ",2,250.5,TicketFast,2016-08-05 00:00:00,2016-08-04,2015-07-14,2015-07-20,2015-07-17 16:49:56,2015-07-17,,EST,SUNRISE,FLORIDA,33323,www.ticketmaster.com,F ,Y ,Miami,093f39a7ecf1dec7b81c,,,,,,,,,,,,,,
1379,1380,a429874345aece0f7e17,8ece566dec0c146b25cd,b85143bf51323b72e53c,90852bdecd6ccaf05d30,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,   LIVE NATION PRESENTS            BEYONCE           THE FORMATION WORLD TOUR        MARLINS PARK             RAIN OR SHINE         WED APR 27 2016 6:00PM  ,2,200.0,TicketFast,2016-04-27 22:00:00,2016-04-27,2016-02-09,2016-02-16,2016-02-16 15:08:48,2016-02-16,2016-02-16,EST,MIAMI,FLORIDA,33125,www.ticketmaster.com,T ,Y ,Miami,90852bdecd6ccaf05d30,,,,,,,,,,,,,,
1381,1382,62874a0f30ab520d2607,5210189dc1f3cd604e70,e908b315f7b02636a78a,ac6a49200c2e876aa2fd,The Smashing Pumpkins & marilyn manson: the end times tour,The Smashing Pumpkins,Marilyn Manson,CONCERTS,ALTERNATIVE ROCK,CONCERTS,The Smashing Pumpkins & marilyn manson: the end times tour,   LIVE NATION PRESENTS     THE SMASHING PUMPKINS              AND                  MARILYN MANSON         GEXA ENERGY PAVILION    WED JUL 15 2015 7:00 PM  ,1,25.0,eTicket,2015-07-16 00:00:00,2015-07-15,2015-03-31,2015-04-03,2015-07-15 23:17:13,2015-07-15,2015-07-15,CST,DALLAS,TEXAS,75210,www.concerts.livenation.com,T ,Y ,Dallas,ac6a49200c2e876aa2fd,,,,,,,,,,,,,,
1382,1383,7d5d107c8f0d8ae3e26b,5a30008429ee66fc7b84,9021d10ae169fed0ebb8,eff813041aa0ccd95887,Luke Bryan: Kick The Dust Up Tour 2015,Luke Bryan,Randy Houser,CONCERTS,COUNTRY,CONCERTS,Luke Bryan: Kick The Dust Up Tour 2015,KICK THE DUST UP TOUR 2015        LUKE BRYAN              LUKEBRYAN.COM       RANDY HOUSER/DUSTIN LYNCH   FIRST NIAGARA PAVILION    FRI JUL 31 2015 7:00PM  ,2,51.0,Mail,2015-07-31 23:00:00,2015-07-31,2015-04-07,2015-04-10,2015-04-12 22:39:02,2015-04-12,2015-04-23,EST,BURGETTSTOWN,PENNSYLVANIA,15021,www.concerts.livenation.com,T ,Y ,Pittsburgh,eff813041aa0ccd95887,,,,,,,,,,,,,,
1383,1384,9c3656b6d77d614f1de9,ebe30b90662305cd8f18,3f010d7b8687dbfc8409,259c1de517523d94ca6a,Van Halen,Van Halen,The Kenny Wayne Shepherd Band,CONCERTS,ROCK/POP,CONCERTS,Van Halen,    WWW.VAN-HALEN.COM             VAN HALEN                    ***             SAN MANUEL AMPHITHEATER        RAIN OR SHINE        SAT JUL 11 2015 7:30 PM  ,2,299.0,eTicket,2015-07-12 02:30:00,2015-07-11,2015-04-09,2015-04-11,2015-04-12 17:30:55,2015-04-12,2015-07-02,PST,SAN BERNARDINO,CALIFORNIA,92407,www.concerts.livenation.com,T ,Y ,Los Angeles,259c1de517523d94ca6a,,,,,,,,,,,,,,
1387,1388,ead044862f19ac8ce130,b1ef91d001f717cbd719,b4662bed9e250974fe60,6f91673e3b856b14097a,Rockstar Energy Drink Mayhem Festival,Rockstar Energy Drink Mayhem Festival,Slayer,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Rockstar Energy Drink Mayhem Festival,  ROCKSTAR ENERGY DRINK        MAYHEM FESTIVAL      WWW.ROCKSTARMAYHEMFEST.COM  NIKON JONES BEACH THTR        RAIN OR SHINE        SUN JUL 26 2015 1:00 PM  ,2,40.0,eTicket,2015-07-26 17:00:00,2015-07-26,2015-04-16,2015-04-17,2015-07-17 14:56:01,2015-07-17,2015-07-17,EST,WANTAGH,NEW YORK,11793,www.concerts.livenation.com,T ,Y ,New York,6f91673e3b856b14097a,,,,,,,,,,,,,,
1389,1390,1ad9caaa56f110cd192a,09127450eba97348522d,b85143bf51323b72e53c,bc8d67105966c286588d,Joe Russo's Almost Dead,Joe Russo,,CONCERTS,ROCK/POP,CONCERTS,Joe Russo's Almost Dead,"    97.3 KBCO PRESENTS     JOE RUSSO'S ALMOST DEAD    AGES 16 & OVER WITH ID     FILLMORE AUDITORIUM         DENVER, COLORADO      SAT DEC 19 2015 8:00 PM  ",2,70.0,eTicket,2015-12-20 03:00:00,2015-12-19,2015-10-01,2015-10-02,2015-12-19 15:36:01,2015-12-19,2015-12-19,MST,DENVER,COLORADO,80218,www.concerts.livenation.com,T ,Y ,Colorado,bc8d67105966c286588d,,,,,,,,,,,,,,
1390,1391,ede2614b9d09b427572a,8ece566dec0c146b25cd,b85143bf51323b72e53c,11389978ec5ba7e6c4f6,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,   LIVE NATION PRESENTS            BEYONCE           THE FORMATION WORLD TOUR       LEVI'S STADIUM            RAIN OR SHINE        MON MAY 16 2016 6:00 PM  ,4,180.0,TicketFast,2016-05-17 01:00:00,2016-05-16,2016-02-15,2016-02-22,2016-02-15 20:10:42,2016-02-15,2016-02-23,PST,SANTA CLARA,CALIFORNIA,95054,iphone.ticketmaster.us,T ,Y ,N. California,11389978ec5ba7e6c4f6,,,,,,,,,,,,,,
1391,1392,768284dc8c281e971937,8186148b967ae9204c4a,7fb12d70ebd5e00b61ee,e09a73f90346961d8026,Breaking Benjamin,Breaking Benjamin,Young Guns,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Breaking Benjamin,   CROSSROADS PRESENTS        BREAKING BENJAMIN            WWW.HOB.COM          HOUSE OF BLUES BOSTON    15 LANSDOWNE ST/ALL AGES FRI AUG 14 2015 DRS 700PM ,1,37.0,eTicket,2015-08-14 23:00:00,2015-08-14,2015-06-26,2015-06-26,2015-06-26 16:03:10,2015-06-26,,EST,BOSTON,MASSACHUSETTS,02215,www.concerts.livenation.com,F ,Y ,Boston,e09a73f90346961d8026,,,,,,,,,,,,,,
1395,1396,5d08cf2cf6590949bec6,89db46779e64030366d4,7c961ed485a600b0a123,02af367cd79d2682e0e1,Chris Stapleton,Chris Stapleton,Anderson East,CONCERTS,COUNTRY,CONCERTS,Chris Stapleton,      KYGO PRESENTS            CHRIS STAPLETON          CHRISSTAPLETON.COM       FILLMORE AUD/ DENVER     AGES 16 & OVER WITH ID   FRI MAY 06 2016 7:00 PM  ,4,171.0,eTicket,2016-05-07 01:00:00,2016-05-06,2016-02-10,2016-02-12,2016-02-11 17:02:53,2016-02-11,,MST,DENVER,COLORADO,80218,www.concerts.livenation.com,F ,Y ,Colorado,02af367cd79d2682e0e1,,,,,,,,,,,,,,
1397,1398,adf781e35f63e872977e,1065a97c539d7d57f69e,ef68fb2a14d1776a9416,d407327c347a7b9cb6ac,Counting Crows: Somewhere Under Wonderland Tour With Citizen Cope,Counting Crows,Citizen Cope,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Counting Crows: Somewhere Under Wonderland Tour With Citizen Cope,      LIVENATION.COM            COUNTING CROWS          COUNTINGCROWS.COM        RED HAT AMPHITHEATER         RAIN OR SHINE        WED AUG 12 2015 6:30 PM  ,2,84.0,eTicket,2015-08-12 22:30:00,2015-08-12,2015-04-14,2015-04-17,2015-08-04 04:10:58,2015-08-03,2015-08-12,EST,RALEIGH,NORTH CAROLINA,27601,iphone.ticketmaster.us,T ,Y ,Raleigh,d407327c347a7b9cb6ac,,,,,,,,,,,,,,
1398,1399,027482bd491e197660d0,5a30008429ee66fc7b84,75578de54ddf5b3ca7dd,a16dc1f2592fb86d4f8c,Luke Bryan - kick the dust up tour 2015,Luke Bryan,Florida Georgia Line,CONCERTS,COUNTRY,CONCERTS,Luke Bryan - kick the dust up tour 2015,"KICK THE DUST UP TOUR 2015        LUKE BRYAN            FGL / RANDY HOUSER     TCF BANK STADIUM*MPLS,MN THOMAS RHETT/DUSTIN LYNCH SAT JUN 20 2015 DRS 4:30PM",6,273.0,TicketFast,2015-06-20 21:30:00,2015-06-20,2015-02-17,2015-02-20,2015-06-19 13:29:24,2015-06-19,2015-06-19,CST,MINNEAPOLIS,MINNESOTA,55455,iphone.ticketmaster.us,T ,Y ,Minnesota,a16dc1f2592fb86d4f8c,,,,,,,,,,,,,,
1401,1402,677db109635038f7b41a,13719df5042a8059b534,b85143bf51323b72e53c,fb6016bcc5b98398f102,Neil Diamond World Tour 2015,Neil Diamond,,CONCERTS,ADULT CONTEMPORARY,CONCERTS,Neil Diamond World Tour 2015, HEWITT/SILVA/LIVE NATION        NEIL DIAMOND            WORLD TOUR 2015            HOLLYWOOD BOWL      RAIN OR SHINE/NO GLASS/CAN SAT MAY 23 2015 8:00 PM  ,1,45.0,TicketFast,2015-05-24 03:00:00,2015-05-23,2015-02-10,2015-02-13,2015-04-18 00:44:29,2015-04-17,2015-05-18,PST,HOLLYWOOD,CALIFORNIA,90068,www.ticketmaster.com,T ,Y ,Los Angeles,fb6016bcc5b98398f102,,,,,,,,,,,,,,
1403,1404,6ce493f24421534b4040,06e074b50adecfb5ca56,b85143bf51323b72e53c,1d407fe16b5ea4b880f2,Coldplay - a head full of dreams tour,Coldplay,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Coldplay - a head full of dreams tour,   LIVE NATION PRESENTS            COLDPLAY         A HEAD FULL OF DREAMS TOUR       AT&T STADIUM           ALL TAXES INCLUDED     SAT AUG 27 2016 8:00 PM  ,2,359.0,Mail,2016-08-28 01:00:00,2016-08-27,2016-02-03,2016-02-05,2016-01-29 18:28:31,2016-01-29,2016-02-03,CST,ARLINGTON,TEXAS,76011,iphone.ticketmaster.us,T ,Y ,Dallas,1d407fe16b5ea4b880f2,,,,,,,,,,,,,,
1405,1406,63109ac7483c85232fbd,f53529c5679ea6ca5a48,b85143bf51323b72e53c,d145f1d6bbc0b1741ddc,Dave Matthews Band,Dave Matthews Band,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Dave Matthews Band,                              DAVE MATTHEWS BAND                                 NO CAMERAS OR VIDEOS     VETERANS UNITED AMP VB   FRI JUN 17 2016 7:00 PM  ,2,134.0,Mail,2016-06-17 23:00:00,2016-06-17,2016-02-16,2016-02-19,2016-02-20 02:41:23,2016-02-19,,EST,VIRGINIA BEACH,VIRGINIA,23456,mobile.livenation.us,F ,Y ,Virginia,d145f1d6bbc0b1741ddc,,,,,,,,,,,,,,
1407,1408,7bf5f3825f82874ee902,6be8d6e11753a83f0b04,1f6b10c73616f51c3940,d737e2bedadae31513e5,Steely Dan,Steely Dan,Steve Winwood,CONCERTS,ROCK/POP,CONCERTS,Steely Dan,   LIVE NATION PRESENTS           STEELY DAN            WITH STEVE WINWOOD    BETHEL WOODS CTR FOR ARTS       RAIN OR SHINE        SAT JUL 09 2016 7:00 PM  ,2,55.0,Mail,2016-07-09 23:00:00,2016-07-09,2016-02-23,2016-02-27,2016-03-04 00:37:54,2016-03-03,2016-03-07,EST,BETHEL,NEW YORK,12720,www.ticketmaster.com,T ,Y ,New York,d737e2bedadae31513e5,,,,,,,,,,,,,,
1408,1409,5a946c05a66b59af125e,4b28a870f303d66cc740,23fa4d7e248551248770,0eb3bf903f111fac9841,Boys Of Zummer Tour With Fall Out Boy And Wiz Khalifa,Wiz Khalifa,Fall Out Boy,CONCERTS,RAP/URBAN,CONCERTS,Boys Of Zummer Tour With Fall Out Boy And Wiz Khalifa,      BOYS OF ZUMMER       FALL OUT BOY|WIZ KHALIFA  PRESENTED BY LIVE NATION  HOLLYWOOD CASINO AMP STL    AN ALL WEATHER EVENT    TUE JUL 14 2015 7:00 PM  ,1,20.0,eTicket,2015-07-15 00:00:00,2015-07-14,2015-01-23,2015-01-23,2015-07-14 16:59:42,2015-07-14,2015-07-14,CST,MARYLAND HEIGHTS,MISSOURI,63043,mobile.livenation.us,T ,Y ,St. Louis,0eb3bf903f111fac9841,,,,,,,,,,,,,,
1409,1410,35ae3faccf0ddfe997bf,8ece566dec0c146b25cd,b85143bf51323b72e53c,87c3d5092818ba1f227f,Beyonce - the formation world tour,Beyoncé,,CONCERTS,R & B,CONCERTS,Beyonce - the formation world tour,   Live Nation Presents            Beyonce           The Formation World Tour      GILLETTE STADIUM           RAIN OR SHINE         FRI JUN 03 2016 6:00PM  ,2,620.0,Mail,2016-06-03 22:00:00,2016-06-03,2016-02-09,2016-02-16,2016-02-10 23:08:37,2016-02-10,2016-02-17,EST,FOXBOROUGH,MASSACHUSETTS,02035,www.ticketmaster.com,T ,Y ,Boston,87c3d5092818ba1f227f,,,,,,,,,,,,,,
1411,1412,f0ba5fcfc83d3089e453,ff9dfcd1cc72f8bccaf2,b85143bf51323b72e53c,f5b11c31ad8d220d25ca,Zac Brown Band: Jekyll + hyde tour presented by bai,Zac Brown Band,,CONCERTS,COUNTRY,CONCERTS,Zac Brown Band: Jekyll + hyde tour presented by bai,     PRESENTED BY BAI           ZAC BROWN BAND          JEKYLL + HYDE TOUR     MIDFLORIDA AMPHITHEATRE      WWW.LIVENATION.COM     FRI NOV 13 2015 7:00 PM  ,2,125.0,eTicket,2015-11-14 00:00:00,2015-11-13,2015-05-13,2015-05-15,2015-05-15 16:36:52,2015-05-15,2015-05-16,EST,TAMPA,FLORIDA,33610,www.concerts.livenation.com,T ,Y ,Tampa,f5b11c31ad8d220d25ca,,,,,,,,,,,,,,
1412,1413,da13560dc6fc9ed27671,094156ef72361776c8ee,b148517112c348d23c90,58f0625aa6c14f9af9dd,Blake Shelton: Presented By Gildan,Blake Shelton,Chris Janson,CONCERTS,COUNTRY,CONCERTS,Blake Shelton: Presented By Gildan,   PRESENTED BY GILDAN          BLAKE SHELTON                *******               U.S. BANK ARENA      100 BROADWAY * CINCINNATI  THU FEB 18 2016 7:30 PM  ,2,93.5,Mail,2016-02-19 00:30:00,2016-02-18,2015-10-21,2015-10-23,2015-12-11 14:43:11,2015-12-11,2015-12-14,EST,CINCINNATI,OHIO,45202,www.ticketmaster.com,T ,Y ,Cincinnati-KY,58f0625aa6c14f9af9dd,,,,,,,,,,,,,,
1414,1415,1f963b4df01c2264187b,b10e66a885a1f0eb494d,b85143bf51323b72e53c,2153130bb66be6db2e48,Pearl Jam,Pearl Jam,,CONCERTS,ALTERNATIVE ROCK,CONCERTS,Pearl Jam,     AN EVENING WITH              PEARL JAM               $3 TO VITALOGY              PNC ARENA            NO CAMERAS/VIDEO/REC     WED APR 20 2016 8:00PM  ,2,136.0,eTicket,2016-04-21 00:00:00,2016-04-20,,2016-01-29,2016-01-29 17:13:25,2016-01-29,,EST,RALEIGH,NORTH CAROLINA,27607,www.ticketmaster.com,F ,Y ,Raleigh,2153130bb66be6db2e48,,,,,,,,,,,,,,
1416,1417,548560b69c231e22348e,b264c6beb163d54d21ee,b85143bf51323b72e53c,5dfffb778bc5096cee8f,Halsey,Halsey,,CONCERTS,ROCK/POP,CONCERTS,Halsey,   LIVE NATION PRESENTS             HALSEY                BADLANDS TOUR               CFE ARENA                   * * *            WED JUL 06 2016  8:00 PM ,2,75.0,eTicket,2016-07-07 00:00:00,2016-07-06,2016-01-28,2016-01-30,2016-02-01 00:35:58,2016-01-31,,EST,ORLANDO,FLORIDA,32816,iphone.ticketmaster.us,F ,Y ,Orlando,5dfffb778bc5096cee8f,,,,,,,,,,,,,,
1420,1421,56efd6cacbdd639961b9,dca5919872101e6887a3,8f2b8e080c2fb85284ba,5f03d14645264e2d62e2,Billy Joel,Billy Joel,Gavin DeGraw,CONCERTS,ROCK/POP,CONCERTS,Billy Joel,         * * * *                  BILLY JOEL                In Concert          SAFECO FIELD - SEATTLE  www.billyjoel.com/6PM DRS  FRI MAY 20 2016 8:00 PM  ,2,259.5,TicketFast,2016-05-21 03:00:00,2016-05-20,2016-02-01,2016-02-05,2016-02-01 18:34:10,2016-02-01,2016-02-01,PST,SEATTLE,WASHINGTON,98134,iphone.ticketmaster.us,T ,Y ,Seattle,5f03d14645264e2d62e2,,,,,,,,,,,,,,
1425,1426,f648dc312c1666e66586,ba64ad0e558617b0577c,6f00dec70a35f7c5a8a9,d56579be6152fd8f8a0a,"Chicago And Earth, Wind & fire  heart and soul tour 2015",Chicago,"Earth, Wind & Fire",CONCERTS,ROCK/POP,CONCERTS,"Chicago And Earth, Wind & fire  heart and soul tour 2015"," RAIN OR SHINE/CPATW PRES          CHICAGO                     AND                EARTH, WIND & FIRE        WOODLANDS PAVILION     SAT JUL 25 2015 7:30 PM  ",2,50.0,eTicket,2015-07-26 00:30:00,2015-07-25,2015-03-09,2015-03-13,2015-05-20 13:47:26,2015-05-20,2015-07-20,CST,THE WOODLANDS,TEXAS,77380,www.concerts.livenation.com,T ,Y ,Houston,d56579be6152fd8f8a0a,,,,,,,,,,,,,,
